species_binomial,japanese_names,region_bucket,same_block_moreyra_anchors,new_tree_samples_needed
Cirsium albrechtii,エゾヤマアザミ,HOKKAIDO,JPN_34:Cirsium microspicatum | JPN_26:Cirsium spicatum,2
Cirsium bitchuense,ビッチュウアザミ,CHUGOKU,JPN_34:Cirsium microspicatum | JPN_26:Cirsium spicatum,2
Cirsium confertissimum,コイブキアザミ,KINKI,JPN_34:Cirsium microspicatum | JPN_26:Cirsium spicatum,2
Cirsium congestissimum,ヒッツキアザミ,KINKI|CHUGOKU,JPN_34:Cirsium microspicatum | JPN_26:Cirsium spicatum,2
Cirsium heiianum,トオノアザミ,TOHOKU,JPN_34:Cirsium microspicatum | JPN_26:Cirsium spicatum,2
Cirsium tenue,ウスバアザミ,CHUGOKU,JPN_34:Cirsium microspicatum | JPN_26:Cirsium spicatum,2
Cirsium uetsuense,ウエツアザミ,TOHOKU|CHUBU,JPN_34:Cirsium microspicatum | JPN_26:Cirsium spicatum,2
Cirsium yamauchii,ハッタチアザミ,TOHOKU,JPN_34:Cirsium microspicatum | JPN_26:Cirsium spicatum,2
