species_binomial,japanese_names,region_bucket,nmns_taxonomic_block,same_block_moreyra_anchors,moreyra_jpns,new_tree_samples_needed,sample_A_rule,sample_B_rule
Cirsium pendulum,タカアザミ,HOKKAIDO|TOHOKU|CHUBU|CHUGOKU,タカアザミ節,JPN_38:Cirsium pendulum,JPN_38,2,VERIFIED_WILD_POPULATION_IN_ONE_RANGE_SECTOR,VERIFIED_WILD_POPULATION_IN_DIFFERENT_RANGE_SECTOR_MAXIMIZE_SEPARATION
Cirsium sieboldii,キセルアザミ,SHIKOKU,ナンブアザミ節キセルアザミ亜節,JPN_36:Cirsium sieboldii,JPN_36,2,VERIFIED_WILD_POPULATION_IN_ONE_RANGE_SECTOR,VERIFIED_WILD_POPULATION_IN_DIFFERENT_RANGE_SECTOR_MAXIMIZE_SEPARATION
Cirsium nipponicum,キタカミアザミ,TOHOKU,ナンブアザミ節ダキバヒメアザミ亜節リシリアザミ列,JPN_07:Cirsium domonii | JPN_35:Cirsium nipponicum,JPN_35,2,VERIFIED_WILD_POPULATION_IN_ONE_RANGE_SECTOR,VERIFIED_WILD_POPULATION_IN_DIFFERENT_RANGE_SECTOR_MAXIMIZE_SEPARATION
Cirsium kamtschaticum,チシマアザミ,HOKKAIDO,ナンブアザミ節チシマアザミ亜節チシマアザミ列,JPN_37:Cirsium kamtschaticum,JPN_37,2,VERIFIED_WILD_POPULATION_IN_ONE_RANGE_SECTOR,VERIFIED_WILD_POPULATION_IN_DIFFERENT_RANGE_SECTOR_MAXIMIZE_SEPARATION
Cirsium buergeri,ヒメアザミ,KINKI|CHUGOKU|KYUSHU,ナンブアザミ節ヒメアザミ亜節,JPN_02:Cirsium aidzuense | JPN_32:Cirsium buergeri | JPN_27:Cirsium suzukaense,JPN_32,2,VERIFIED_WILD_POPULATION_IN_ONE_RANGE_SECTOR,VERIFIED_WILD_POPULATION_IN_DIFFERENT_RANGE_SECTOR_MAXIMIZE_SEPARATION
Cirsium microspicatum,アズマヤマアザミ,TOHOKU|KINKI,ナンブアザミ節ヤマアザミ亜節,JPN_34:Cirsium microspicatum | JPN_26:Cirsium spicatum,JPN_34,2,VERIFIED_WILD_POPULATION_IN_ONE_RANGE_SECTOR,VERIFIED_WILD_POPULATION_IN_DIFFERENT_RANGE_SECTOR_MAXIMIZE_SEPARATION
