member_id,moreyra_paper_concept,current_nmns_species_binomial,crosswalk_status,current_nmns_name_status,moreyra_public_biological_samples
JPN_01,Cirsium abukumense,Cirsium incomptum,CURRENT_NMNS_INFRASPECIFIC_COLLAPSE_TO_C_INCOMPTUM,PUBLISHED_CORE_SCREEN,1
JPN_02,Cirsium aidzuense,Cirsium aidzuense,CURRENT_NMNS_SPECIES_MATCH,PUBLISHED_CORE_SCREEN,1
JPN_03,Cirsium alpicola,Cirsium alpicola,CURRENT_NMNS_SPECIES_MATCH,PUBLISHED_CORE_SCREEN,1
JPN_04,Cirsium amplexifolium,Cirsium amplexifolium,CURRENT_NMNS_SPECIES_MATCH,PUBLISHED_CORE_SCREEN,1
JPN_05,Cirsium aomorense,Cirsium aomorense,CURRENT_NMNS_SPECIES_MATCH,PUBLISHED_CORE_SCREEN,1
JPN_06,Cirsium dipsacolepis,Cirsium dipsacolepis,CURRENT_NMNS_SPECIES_MATCH,PUBLISHED_CORE_SCREEN,1
JPN_07,Cirsium domonii,Cirsium domonii,CURRENT_NMNS_SPECIES_MATCH,PUBLISHED_CORE_SCREEN,1
JPN_08,Cirsium funagataense,Cirsium fuagataense,CURRENT_NMNS_SPELLING_CROSSWALK,PUBLISHED_CORE_SCREEN,1
JPN_09,Cirsium gyojanum,Cirsium gyojanum,CURRENT_NMNS_SPECIES_MATCH,PUBLISHED_CORE_SCREEN,1
JPN_10,Cirsium ishidatense,Cirsium ishidatense,CURRENT_NMNS_PROVISIONAL_NAME,PROVISIONAL_NAME,1
JPN_11,Cirsium ishizuchiense,Cirsium ishidzuchiense,CURRENT_NMNS_SPELLING_CROSSWALK,PUBLISHED_CORE_SCREEN,1
JPN_12,Cirsium japonicum var. horridum,Cirsium japonicum,CURRENT_NMNS_RANK_OR_CONCEPT_CROSSWALK,PUBLISHED_CORE_SCREEN,1
JPN_13,Cirsium kasaianum,Cirsium kasaianum,CURRENT_NMNS_SPECIES_MATCH,PUBLISHED_CORE_SCREEN,1
JPN_14,Cirsium kiotoense,Cirsium kiotoense,CURRENT_NMNS_SPECIES_MATCH,PUBLISHED_CORE_SCREEN,1
