member_id,moreyra_paper_concept,current_nmns_species_binomial,crosswalk_status,current_nmns_name_status,moreyra_public_biological_samples
JPN_15,Cirsium lineare,Cirsium lineare,CURRENT_NMNS_SPECIES_MATCH,PUBLISHED_CORE_SCREEN,1
JPN_16,Cirsium magofukui,Cirsium magofukui,CURRENT_NMNS_SPECIES_MATCH,PUBLISHED_CORE_SCREEN,1
JPN_17,Cirsium maritimum,Cirsium maritimum,CURRENT_NMNS_SPECIES_MATCH,PUBLISHED_CORE_SCREEN,1
JPN_18,Cirsium matsumurae var. dubium,Cirsium matsumurae,CURRENT_NMNS_RANK_OR_CONCEPT_CROSSWALK,PUBLISHED_CORE_SCREEN,1
JPN_19,Cirsium nippoense,Cirsium nippoense,CURRENT_NMNS_SPECIES_MATCH,PUBLISHED_CORE_SCREEN,1
JPN_20,Cirsium nipponicum var. incomptum,Cirsium incomptum,CURRENT_NMNS_RANK_OR_CONCEPT_CROSSWALK,PUBLISHED_CORE_SCREEN,2
JPN_21,Cirsium nipponicum var. yoshinoi,Cirsium yoshinoi,CURRENT_NMNS_RANK_OR_CONCEPT_CROSSWALK,PUBLISHED_CORE_SCREEN,1
JPN_22,Cirsium norikurense,Cirsium norikurense,CURRENT_NMNS_SPECIES_MATCH,PUBLISHED_CORE_SCREEN,1
JPN_23,Cirsium oligophyllum,Cirsium oligophyllum,CURRENT_NMNS_SPECIES_MATCH,PUBLISHED_CORE_SCREEN,1
JPN_24,Cirsium pseudosuffultum,Cirsium pseudosuffltum,CURRENT_NMNS_SPELLING_CROSSWALK,PUBLISHED_CORE_SCREEN,1
JPN_25,Cirsium shidokimontanum,Cirsium shidokimontanum,CURRENT_NMNS_SPECIES_MATCH,PUBLISHED_CORE_SCREEN,1
JPN_26,Cirsium spicatum,Cirsium spicatum,CURRENT_NMNS_SPECIES_MATCH,PUBLISHED_CORE_SCREEN,1
JPN_27,Cirsium suzukaense,Cirsium suzukaense,CURRENT_NMNS_SPECIES_MATCH,PUBLISHED_CORE_SCREEN,1
JPN_28,Cirsium uzenense,Cirsium uzenense,CURRENT_NMNS_SPECIES_MATCH,PUBLISHED_CORE_SCREEN,1
JPN_29,Cirsium verutum,,NOT_IN_CURRENT_NMNS_SPECIES_SCREEN_TAXONOMY_GATE,NOT_IN_CURRENT_NMNS_SPECIES_SCREEN,1
JPN_30,Cirsium yezoense,Cirsium yezoense,CURRENT_NMNS_SPECIES_MATCH,PUBLISHED_CORE_SCREEN,1
JPN_31,Cirsium yuki-uenoanum,,NOT_IN_CURRENT_NMNS_SPECIES_SCREEN_TAXONOMY_GATE,NOT_IN_CURRENT_NMNS_SPECIES_SCREEN,1
JPN_32,Cirsium buergeri,Cirsium buergeri,CURRENT_NMNS_SPECIES_MATCH,PUBLISHED_CORE_SCREEN,1
JPN_33,Cirsium effusum,,NOT_IN_CURRENT_NMNS_SPECIES_SCREEN_TAXONOMY_GATE,NOT_IN_CURRENT_NMNS_SPECIES_SCREEN,1
JPN_34,Cirsium microspicatum,Cirsium microspicatum,CURRENT_NMNS_SPECIES_MATCH,PUBLISHED_CORE_SCREEN,1
JPN_35,Cirsium nipponicum,Cirsium nipponicum,CURRENT_NMNS_SPECIES_MATCH,PUBLISHED_CORE_SCREEN,1
JPN_36,Cirsium sieboldii,Cirsium sieboldii,CURRENT_NMNS_SPECIES_MATCH,PUBLISHED_CORE_SCREEN,1
JPN_37,Cirsium kamtschaticum,Cirsium kamtschaticum,CURRENT_NMNS_SPECIES_MATCH,PUBLISHED_CORE_SCREEN,1
JPN_38,Cirsium pendulum,Cirsium pendulum,CURRENT_NMNS_SPECIES_MATCH,PUBLISHED_CORE_SCREEN,1
